Дата продажи,Код номенклатуры,sales,returns,net_sales,avg_price
2026-01-05,218456964,2,0.0,2.0,401.0
2026-01-05,219033581,9,0.0,9.0,1928.0744444444442
2026-01-05,219037028,4,1.0,3.0,1968.055
2026-01-05,220783118,15,0.0,15.0,1955.3053333333335
2026-01-05,220783121,7,0.0,7.0,2090.0
2026-01-05,220783128,4,0.0,4.0,1880.0
2026-01-05,220783129,3,0.0,3.0,1924.0
2026-01-05,220796910,7,0.0,7.0,1076.4285714285713
2026-01-05,220796916,17,1.0,16.0,1184.0
2026-01-05,220796924,6,0.0,6.0,1116.0
2026-01-05,220796929,8,0.0,8.0,1052.0
2026-01-05,221216505,2,0.0,2.0,1861.0
2026-01-05,221216935,4,0.0,4.0,1858.0
2026-01-05,221217363,6,0.0,6.0,1138.9816666666668
2026-01-05,223302777,2,1.0,1.0,1076.0
2026-01-05,223615358,1,1.0,0.0,1865.0
2026-01-05,225505021,1,0.0,1.0,540.0
2026-01-05,248166626,21,1.0,20.0,1608.9819047619048
2026-01-05,248173261,10,0.0,10.0,1448.104
2026-01-05,248591628,2,0.0,2.0,1497.0
2026-01-05,248591629,2,0.0,2.0,1848.0
2026-01-05,248639013,23,2.0,21.0,1501.0039130434782
2026-01-05,251889892,5,0.0,5.0,1496.0
2026-01-05,253236688,10,0.0,10.0,1939.2
2026-01-05,253237666,19,0.0,19.0,2000.608947368421
2026-01-05,258834337,88,1.0,87.0,1153.5992045454545
2026-01-05,258834339,1,0.0,1.0,1118.0
2026-01-05,258836990,66,0.0,66.0,1155.856119402985
2026-01-05,258836991,7,0.0,7.0,1702.0
2026-01-05,258850894,73,0.0,73.0,682.6126027397261
2026-01-05,262595711,20,0.0,20.0,1164.999
2026-01-05,262595712,1,0.0,1.0,1726.0
2026-01-05,262596137,21,0.0,21.0,1208.7142857142858
2026-01-05,262596138,5,0.0,5.0,1665.0
2026-01-05,273080437,1,0.0,1.0,1130.0
2026-01-05,278278778,13,0.0,13.0,1818.9285714285713
2026-01-05,278837827,3,0.0,3.0,980.0
2026-01-05,279005801,2,0.0,2.0,1925.0
2026-01-05,279007387,3,0.0,3.0,1925.0
2026-01-05,296818633,19,2.0,17.0,1158.9910526315791
2026-01-05,300294506,2,0.0,2.0,1463.0
2026-01-05,300294507,4,0.0,4.0,1200.0
2026-01-05,316614621,2,0.0,2.0,520.0
2026-01-05,331575074,2,1.0,1.0,1040.0
2026-01-05,337308569,7,0.0,7.0,1339.0342857142857
2026-01-05,366760796,1,0.0,1.0,431.0
2026-01-05,366813879,1,0.0,1.0,751.62
2026-01-05,366813884,10,0.0,10.0,396.09499999999997
2026-01-05,366813888,1,0.0,1.0,517.0
2026-01-05,366813891,2,0.0,2.0,429.0
2026-01-05,366813893,1,0.0,1.0,447.9
2026-01-05,366813897,1,0.0,1.0,372.0
2026-01-05,366822992,2,0.0,2.0,389.5
